ID;Vorname;Nachname;Angezeigter Name (kurz);Angezeigter Name;Verein;Position;Marktwert;Punkte;Notendurchschnitt
pl-k00103853;Min-Jae;Kim;M.-J. Kim;Min-Jae Kim;Bayern München;DEFENDER;3200000;136;3.0
pl-k00103978;James;Sands;Sands;James Sands;FC St. Pauli;MIDFIELDER;2200000;68;Mrz 83
pl-k00104008;Niklas;Tauer;Tauer;Niklas Tauer;1. FSV Mainz 05;MIDFIELDER;600000;0;0.0
pl-k00104010;Julian;Niehues;Niehues;Julian Niehues;1. FC Heidenheim;MIDFIELDER;800000;86;03. Jun
pl-k00104317;Angelo;Stiller;Stiller;Angelo Stiller;VfB Stuttgart;MIDFIELDER;4000000;215;03. Sep
pl-k00104484;Andreas;Hanche-Olsen;Hanche-Olsen;Andreas Hanche-Olsen;1. FSV Mainz 05;DEFENDER;2000000;32;Mrz 73
pl-k00104485;Julian;Ryerson;Ryerson;Julian Ryerson;Borussia Dortmund;DEFENDER;2600000;186;Mrz 17
pl-k00104895;Rocco;Reitz;Reitz;Rocco Reitz;Bor. Mönchengladbach;MIDFIELDER;2700000;117;03. Jun
pl-k00104978;Adam;Hlozek;Hlozek;Adam Hlozek;TSG Hoffenheim;FORWARD;2600000;10;0.0
pl-k00105006;Albert Sambi;Lokonga;Lokonga;Albert Sambi Lokonga;Hamburger SV;MIDFIELDER;2000000;137;Mrz 23
pl-k00105180;Jamie;Leweling;Leweling;Jamie Leweling;VfB Stuttgart;FORWARD;3300000;213;03. Nov
pl-k00105274;Lasse;Rieß;Rieß;Lasse Rieß;1. FSV Mainz 05;GOALKEEPER;800000;14;03. Mai
pl-k00105275;Stanley;Nsoki;Nsoki;Stanley Nsoki;1. FC Union Berlin;DEFENDER;1400000;21;Apr 27
pl-k00105465;Cameron;Puertas;Puertas;Cameron Puertas;Werder Bremen;MIDFIELDER;2200000;70;Mrz 91
pl-k00105841;Karim;Adeyemi;Adeyemi;Karim Adeyemi;Borussia Dortmund;FORWARD;3300000;133;Mrz 31
pl-k00105845;Noah;Atubolu;Atubolu;Noah Atubolu;SC Freiburg;GOALKEEPER;3200000;215;03. Mrz
pl-k00105999;Jonas;Wind;Wind;Jonas Wind;VfL Wolfsburg;FORWARD;2400000;21;4.0
pl-k00106205;Yukinari;Sugawara;Sugawara;Yukinari Sugawara;Werder Bremen;DEFENDER;1800000;94;Mrz 77
pl-k00106313;Shuto;Machino;Machino;Shuto Machino;Bor. Mönchengladbach;FORWARD;2300000;29;04. Jun
pl-k00106358;Hiroki;Ito;H. Ito;Hiroki Ito;Bayern München;DEFENDER;2400000;63;03. Mai
pl-k00106404;Taichi;Hara;Hara;Taichi Hara;FC St. Pauli;FORWARD;1500000;8;0.0
pl-k00106928;Felix;Nmecha;F. Nmecha;Felix Nmecha;Borussia Dortmund;MIDFIELDER;2600000;175;03. Aug
pl-k00107692;Jamal;Musiala;Musiala;Jamal Musiala;Bayern München;MIDFIELDER;6000000;81;Mrz 27
pl-k00107842;Wouter;Burger;Burger;Wouter Burger;TSG Hoffenheim;MIDFIELDER;2000000;201;03. Dez
pl-k00107843;Ramon;Hendriks;Hendriks;Ramon Hendriks;VfB Stuttgart;DEFENDER;1800000;139;Mrz 24
pl-k00109417;Jan;Schöppner;Schöppner;Jan Schöppner;1. FC Heidenheim;MIDFIELDER;2000000;87;Mrz 98
pl-k00109512;Marvin;Pieringer;Pieringer;Marvin Pieringer;1. FC Heidenheim;FORWARD;2200000;53;Apr 17
pl-k00109674;Malik;Tillman;M. Tillman;Malik Tillman;Bayer 04 Leverkusen;MIDFIELDER;3500000;86;Mrz 87
pl-k00110187;Nicolai;Remberg;Remberg;Nicolai Remberg;Hamburger SV;MIDFIELDER;1700000;116;Mrz 64
pl-k00110422;Ayman;Azhil;Azhil;Ayman Azhil;Borussia Dortmund;MIDFIELDER;500000;0;0.0
pl-k00110890;Ben;Voll;Voll;Ben Voll;FC St. Pauli;GOALKEEPER;800000;0;0.0
pl-k00110959;Yannik;Engelhardt;Engelhardt;Yannik Engelhardt;Bor. Mönchengladbach;MIDFIELDER;1800000;99;Mrz 82
pl-k00111315;Valentin;Gendrey;Gendrey;Valentin Gendrey;TSG Hoffenheim;DEFENDER;1500000;23;0.0
pl-k00111792;Mathias;Rasmussen;Rasmussen;Mathias Rasmussen;FC St. Pauli;MIDFIELDER;1800000;12;Apr 44
pl-k00111919;Max;Rosenfelder;Rosenfelder;Max Rosenfelder;SC Freiburg;DEFENDER;2000000;22;4.0
pl-k00111928;Armindo;Sieb;Sieb;Armindo Sieb;1. FSV Mainz 05;FORWARD;1500000;38;Apr 25
pl-k00111937;Tim;Lemperle;Lemperle;Tim Lemperle;TSG Hoffenheim;FORWARD;1800000;161;Mrz 23
pl-k00112064;Adam;Dzwigala;Dzwigala;Adam Dzwigala;FC St. Pauli;DEFENDER;1000000;49;Mrz 85
pl-k00112134;Joakim;Maehle;Maehle;Joakim Maehle;VfL Wolfsburg;DEFENDER;2200000;33;Apr 14
pl-k00112730;Jens;Castrop;Castrop;Jens Castrop;Bor. Mönchengladbach;MIDFIELDER;1600000;81;Mrz 71
pl-k00112775;Johan;Bakayoko;Bakayoko;Johan Bakayoko;RB Leipzig;FORWARD;3000000;54;Mrz 72
pl-k00112924;Maarten;Vandevoordt;Vandevoordt;Maarten Vandevoordt;RB Leipzig;GOALKEEPER;2400000;81;Feb 92
pl-k00113079;Han-Noah;Massengo;Massengo;Han-Noah Massengo;FC Augsburg;MIDFIELDER;1500000;125;Mrz 59
pl-k00113185;Joe;Scally;Scally;Joe Scally;Bor. Mönchengladbach;DEFENDER;1600000;88;Mrz 92
pl-k00113667;David;Nemeth;Nemeth;David Nemeth;FC St. Pauli;DEFENDER;1700000;0;0.0
pl-k00114601;Edmond;Tapsoba;Tapsoba;Edmond Tapsoba;Bayer 04 Leverkusen;DEFENDER;3000000;201;03. Sep
pl-k00114616;Andras;Schäfer;Schäfer;Andras Schäfer;1. FC Union Berlin;MIDFIELDER;1600000;78;Mrz 68
pl-k00114736;Maximilian;Beier;Beier;Maximilian Beier;Borussia Dortmund;FORWARD;3500000;175;Mrz 39
pl-k00114751;Leonidas;Stergiou;Stergiou;Leonidas Stergiou;1. FC Heidenheim;DEFENDER;1600000;4;Apr 33
pl-k00115533;Igor;Matanovic;Matanovic;Igor Matanovic;SC Freiburg;FORWARD;2000000;150;Mrz 35
pl-k00115537;Valentin;Lässig;Lässig;Valentin Lässig;TSG Hoffenheim;MIDFIELDER;500000;0;0.0
pl-k00115737;Luis Fernando;Diaz Marulanda;Luis Diaz;Luis Diaz;Bayern München;FORWARD;5800000;287;Feb 89
pl-k00116302;Nicolas;Capaldo;Capaldo;Nicolas Capaldo;Hamburger SV;MIDFIELDER;1700000;124;Mrz 35
pl-k00116437;Vinicius;de Souza Costa;Vinicius Souza;Vinicius Souza;VfL Wolfsburg;MIDFIELDER;2300000;42;04. Jul
pl-k00116506;Fabio Daniel;Soares Silva;Fabio Silva;Fabio Silva;Borussia Dortmund;FORWARD;2800000;88;03. Mai
pl-k00116507;Fabio Daniel;Ferreira Vieira;Fabio Vieira;Fabio Vieira;Hamburger SV;MIDFIELDER;2400000;125;Mrz 61
pl-k00116548;Paul;Tschernuth;Tschernuth;Paul Tschernuth;1. FC Heidenheim;GOALKEEPER;500000;0;0.0
pl-k00116616;Tiago;Barreiros de Melo Tomas;Tiago Tomas;Tiago Tomas;VfB Stuttgart;FORWARD;1800000;95;03. Mai
pl-k00116648;Ameen;Al-Dakhil;Al-Dakhil;Ameen Al-Dakhil;VfB Stuttgart;DEFENDER;1500000;20;03. Jun
pl-k00116706;Chrislain;Matsima;Matsima;Chrislain Matsima;FC Augsburg;DEFENDER;2500000;90;Mrz 38
pl-k00116762;Isak Bergmann;Johannesson;Johannesson;Isak Bergmann Johannesson;1. FC Köln;MIDFIELDER;2200000;103;Mrz 67
pl-k00116912;Fabio;Moreno Fell;Moreno Fell;Fabio Moreno Fell;1. FSV Mainz 05;FORWARD;500000;0;5.0
pl-k00117298;Jens;Stage;Stage;Jens Stage;Werder Bremen;MIDFIELDER;3500000;180;Mrz 43
pl-k00117583;Nathan;Ngoumou;Ngoumou;Nathan Ngoumou;Bor. Mönchengladbach;MIDFIELDER;1300000;0;0.0
pl-k00118051;Mio;Backhaus;Backhaus;Mio Backhaus;Werder Bremen;GOALKEEPER;1500000;230;Feb 88
pl-k00118061;Nnamdi;Collins;Collins;Nnamdi Collins;Eintracht Frankfurt;DEFENDER;1800000;47;04. Mrz
pl-k00118068;Brajan;Gruda;Gruda;Brajan Gruda;RB Leipzig;MIDFIELDER;2600000;70;Mrz 41
pl-k00118285;Kilian;Fischer;Fischer;Kilian Fischer;VfL Wolfsburg;DEFENDER;1800000;6;04. Mai
pl-k00118291;Ansgar;Knauff;Knauff;Ansgar Knauff;Eintracht Frankfurt;MIDFIELDER;2200000;64;Mrz 97
pl-k00118312;Justin;Njinmah;Njinmah;Justin Njinmah;Werder Bremen;FORWARD;1700000;51;04. Feb
pl-k00118755;Giovanni;Reyna;Reyna;Giovanni Reyna;Bor. Mönchengladbach;MIDFIELDER;1700000;40;4.0
pl-k00119339;Denis;Huseinbasic;Huseinbasic;Denis Huseinbasic;1. FC Köln;MIDFIELDER;1600000;28;Mrz 95
pl-k00119414;Eric;Martel;Martel;Eric Martel;1. FC Köln;MIDFIELDER;2300000;113;Mrz 65
pl-k00119596;Louis;Oppie;Oppie;Louis Oppie;FC St. Pauli;DEFENDER;1600000;45;04. Jun
pl-k00119669;Fisnik;Asllani;Asllani;Fisnik Asllani;TSG Hoffenheim;FORWARD;2400000;226;Mrz 15
pl-k00119706;Eren;Dinkci;Dinkci;Eren Dinkci;1. FC Heidenheim;FORWARD;1800000;72;Mrz 81
pl-k00119817;Mathias;Pereira Lage;Pereira Lage;Mathias Pereira Lage;FC St. Pauli;FORWARD;2000000;24;Apr 35
pl-k00120042;Rayan;Philippe;Philippe;Rayan Philippe;Hamburger SV;FORWARD;2000000;58;04. Dez
pl-k00120073;Silas;Katompa Mvumpa;Silas;Silas;1. FSV Mainz 05;MIDFIELDER;1500000;25;03. Aug
pl-k00121221;Alessio;Castro-Montes;Castro-Montes;Alessio Castro-Montes;1. FC Köln;MIDFIELDER;1700000;50;Mrz 55
pl-k00121265;Jesper;Lindström;Lindström;Jesper Lindström;VfL Wolfsburg;MIDFIELDER;2200000;10;04. Mai
pl-k00121834;Anton;Kade;Kade;Anton Kade;FC Augsburg;MIDFIELDER;1700000;138;Mrz 42
pl-k00121838;Keke;Topp;Topp;Keke Topp;Werder Bremen;FORWARD;1400000;23;04. Mai
pl-k00121863;Justin;Diehl;Diehl;Justin Diehl;VfB Stuttgart;FORWARD;1300000;0;0.0
pl-k00123098;Samuel;Mbangula;Mbangula;Samuel Mbangula;Werder Bremen;FORWARD;2200000;52;04. Nov
pl-k00123129;Philip;Otele;Otele;Philip Otele;Hamburger SV;FORWARD;1600000;13;Apr 14
pl-k00123300;Arnaud;Kalimuendo;Kalimuendo;Arnaud Kalimuendo;Eintracht Frankfurt;FORWARD;2700000;84;Mrz 69
pl-k00123373;Olivier;Deman;Deman;Olivier Deman;Werder Bremen;DEFENDER;1300000;77;03. Apr
pl-k00123434;Jonas;Urbig;Urbig;Jonas Urbig;Bayern München;GOALKEEPER;1500000;99;Feb 86
pl-k00123524;Yan;Bueno Couto;Yan Couto;Yan Couto;Borussia Dortmund;DEFENDER;1800000;91;Mrz 27
pl-k00123688;Joel Chima;Fujita;Fujita;Joel Chima Fujita;FC St. Pauli;MIDFIELDER;1900000;112;Mrz 69
pl-k00123744;Ezequiel;Fernandez;E. Fernandez;Ezequiel Fernandez;Bayer 04 Leverkusen;MIDFIELDER;2500000;53;Mrz 66
pl-k00124455;Konstantinos;Koulierakis;Koulierakis;Konstantinos Koulierakis;VfL Wolfsburg;DEFENDER;2200000;109;Mrz 75
pl-k00124479;Thomas;Kastanaras;Kastanaras;Thomas Kastanaras;FC Augsburg;FORWARD;800000;0;0.0
pl-k00124798;Connor;Metcalfe;Metcalfe;Connor Metcalfe;FC St. Pauli;MIDFIELDER;1300000;36;04. Mai
pl-k00125181;Michael;Olise;Olise;Michael Olise;Bayern München;MIDFIELDER;8000000;348;Feb 55
pl-k00125269;Patrick;Wimmer;Wimmer;Patrick Wimmer;VfL Wolfsburg;MIDFIELDER;2400000;110;Mrz 61
pl-k00125604;Jakub;Kaminski;Kaminski;Jakub Kaminski;1. FC Köln;MIDFIELDER;1600000;198;Mrz 32
pl-k00125971;Rav;van den Berg;van den Berg;Rav van den Berg;1. FC Köln;DEFENDER;1700000;42;Mrz 62
pl-k00125994;Kevin;Paredes;Paredes;Kevin Paredes;VfL Wolfsburg;MIDFIELDER;1400000;12;Mrz 67
pl-k00126161;Yuito;Suzuki;Y. Suzuki;Yuito Suzuki;SC Freiburg;MIDFIELDER;1800000;113;Mrz 48
pl-k00126213;Mikkel;Kaufmann;Kaufmann;Mikkel Kaufmann;1. FC Heidenheim;FORWARD;1200000;38;Mrz 94
pl-k00126766;Yannik;Lührs;Lührs;Yannik Lührs;TSG Hoffenheim;DEFENDER;500000;0;0.0
pl-k00128262;Marco;Grüll;Grüll;Marco Grüll;Werder Bremen;FORWARD;1900000;43;Apr 21
pl-k00128785;Isaac;Schmidt;Schmidt;Isaac Schmidt;Werder Bremen;DEFENDER;1500000;29;04. Sep
pl-k00129118;Nathan;Tella;Tella;Nathan Tella;Bayer 04 Leverkusen;FORWARD;2200000;75;Mrz 38
pl-k00129291;Loic;Badé;Badé;Loic Badé;Bayer 04 Leverkusen;DEFENDER;3000000;74;Mrz 63
pl-k00129414;Arthur;Theate;Theate;Arthur Theate;Eintracht Frankfurt;DEFENDER;2800000;72;Mrz 85
pl-k00129671;Nathaniel;Brown;Brown;Nathaniel Brown;Eintracht Frankfurt;DEFENDER;2800000;141;Mrz 61
pl-k00129770;Simon;Spari;Spari;Simon Spari;FC St. Pauli;GOALKEEPER;500000;0;0.0
pl-k00130193;William;Böving;Böving;William Böving;1. FSV Mainz 05;MIDFIELDER;1800000;20;4.0
pl-k00130252;Nicolas;Seiwald;Seiwald;Nicolas Seiwald;RB Leipzig;MIDFIELDER;1800000;150;Mrz 35
pl-k00130392;Cenk;Özkacar;Özkacar;Cenk Özkacar;1. FC Köln;DEFENDER;1500000;84;Mrz 59
pl-k00130503;Joel;Schmied;Schmied;Joel Schmied;1. FC Köln;DEFENDER;1400000;68;Mrz 32
pl-k00130593;Moritz;Jenz;Jenz;Moritz Jenz;VfL Wolfsburg;DEFENDER;1800000;56;Mrz 88
pl-k00130808;Karl;Hein;Hein;Karl Hein;Werder Bremen;GOALKEEPER;1100000;18;02. Mai
pl-k00131053;Tim;Oermann;Oermann;Tim Oermann;Bayer 04 Leverkusen;DEFENDER;1600000;4;0.0
pl-k00131067;Luka;Duric;Duric;Luka Duric;TSG Hoffenheim;MIDFIELDER;600000;2;0.0
pl-k00131172;Luca;Kerber;Kerber;Luca Kerber;1. FC Heidenheim;MIDFIELDER;1200000;38;04. Mai
pl-k00131371;Silas;Ostrzinski;Ostrzinski;Silas Ostrzinski;Borussia Dortmund;GOALKEEPER;500000;0;0.0
pl-k00131599;Albian;Hajdari;Hajdari;Albian Hajdari;TSG Hoffenheim;DEFENDER;1700000;157;Mrz 22
pl-k00131777;Lorenz;Assignon;Assignon;Lorenz Assignon;VfB Stuttgart;DEFENDER;2400000;70;Mrz 43
pl-k00131913;Derry;Scherhant;Scherhant;Derry Scherhant;SC Freiburg;FORWARD;1600000;105;03. Mai
pl-k00131930;Fabian;Rieder;Rieder;Fabian Rieder;FC Augsburg;MIDFIELDER;1800000;155;03. Mai
pl-k00132029;Lukas;Petersson;Petersson;Lukas Petersson;TSG Hoffenheim;GOALKEEPER;500000;0;0.0
pl-k00132173;Fin;Stevens;Stevens;Fin Stevens;FC St. Pauli;DEFENDER;600000;2;03. Mai
pl-k00132187;Tom;Bischof;Bischof;Tom Bischof;Bayern München;MIDFIELDER;3000000;131;03. Mrz
pl-k00132190;Dzenan;Pejcinovic;Pejcinovic;Dzenan Pejcinovic;VfL Wolfsburg;FORWARD;1400000;101;Mrz 76
pl-k00132198;Arijon;Ibrahimovic;Ibrahimovic;Arijon Ibrahimovic;1. FC Heidenheim;MIDFIELDER;1400000;111;Mrz 73
pl-k00132204;Frank;Feller;Feller;Frank Feller;1. FC Heidenheim;GOALKEEPER;800000;18;3.0
pl-k00132205;Lukas;Ullrich;Ullrich;Lukas Ullrich;Bor. Mönchengladbach;DEFENDER;1800000;24;Apr 24
pl-k00132207;Nelson;Weiper;Weiper;Nelson Weiper;1. FSV Mainz 05;FORWARD;2300000;30;04. Aug
pl-k00132208;Warmed;Omari;Omari;Warmed Omari;Hamburger SV;DEFENDER;1300000;20;Apr 24
pl-k00132735;Albert;Grönbaek;Grönbaek;Albert Grönbaek;Hamburger SV;MIDFIELDER;1600000;25;4.0
pl-k00132800;Victor;Boniface;Boniface;Victor Boniface;Werder Bremen;FORWARD;4500000;16;04. Feb
pl-k00133609;Carney;Chukwuemeka;Chukwuemeka;Carney Chukwuemeka;Borussia Dortmund;MIDFIELDER;2500000;71;03. Jul
pl-k00133786;Daniel;Svensson;Svensson;Daniel Svensson;Borussia Dortmund;DEFENDER;2500000;122;Mrz 62
pl-k00134218;Ismael;Gharbi;Gharbi;Ismael Gharbi;FC Augsburg;FORWARD;1700000;6;Apr 25
pl-k00135025;Castello;Lukeba;Lukeba;Castello Lukeba;RB Leipzig;DEFENDER;2800000;139;Mrz 16
pl-k00135162;Giorgi;Gocholeishvili;Gocholeishvili;Giorgi Gocholeishvili;Hamburger SV;DEFENDER;1500000;45;04. Mai
pl-k00135219;William;Mikelbrencis;Mikelbrencis;William Mikelbrencis;Hamburger SV;DEFENDER;1400000;28;Apr 41
pl-k00135346;Aurele;Amenda;Amenda;Aurele Amenda;Eintracht Frankfurt;DEFENDER;1400000;73;Mrz 71
pl-k00135660;Senne;Lynen;Lynen;Senne Lynen;Werder Bremen;MIDFIELDER;1900000;98;Mrz 73
pl-k00135713;Ricky-Jade;Jones;Jones;Ricky-Jade Jones;FC St. Pauli;FORWARD;1200000;18;4.0
pl-k00136145;Arkadiusz;Pyrka;Pyrka;Arkadiusz Pyrka;FC St. Pauli;DEFENDER;1200000;76;03. Sep
pl-k00136357;Tom;Rothe;Rothe;Tom Rothe;1. FC Union Berlin;DEFENDER;1800000;46;Mrz 88
pl-k00136435;Alexander;Prass;Prass;Alexander Prass;TSG Hoffenheim;DEFENDER;1500000;123;Mrz 34
pl-k00136443;Daniel;Elfadli;Elfadli;Daniel Elfadli;Hamburger SV;DEFENDER;1800000;61;Mrz 63
pl-k00136673;El Chadaille;Bitshiabu;Bitshiabu;El Chadaille Bitshiabu;RB Leipzig;DEFENDER;1800000;32;Mrz 69
pl-k00136677;Jordy;Makengo;Makengo;Jordy Makengo;SC Freiburg;DEFENDER;1600000;40;Mrz 93
pl-k00137082;Leopold;Querfeld;Querfeld;Leopold Querfeld;1. FC Union Berlin;DEFENDER;1800000;124;Mrz 68
pl-k00137290;Aaron;Zehnter;Zehnter;Aaron Zehnter;VfL Wolfsburg;DEFENDER;1800000;60;Mrz 85
pl-k00137935;Fabio;Chiarodia;Chiarodia;Fabio Chiarodia;Bor. Mönchengladbach;DEFENDER;1300000;22;Apr 15
pl-k00138020;Aljoscha;Kemlein;Kemlein;Aljoscha Kemlein;1. FC Union Berlin;MIDFIELDER;1600000;86;Mrz 73
pl-k00138025;David;Preu;Preu;David Preu;1. FC Union Berlin;MIDFIELDER;800000;0;0.0
pl-k00138202;Muhammed;Damar;Damar;Muhammed Damar;TSG Hoffenheim;MIDFIELDER;1800000;30;Mrz 75
pl-k00138453;Mahmut;Kücüksahin;Kücüksahin;Mahmut Kücüksahin;FC Augsburg;MIDFIELDER;500000;0;0.0
pl-k00138529;Aleksandar;Pavlovic;Pavlovic;Aleksandar Pavlovic;Bayern München;MIDFIELDER;3600000;112;Mrz 28
pl-k00138666;Ernest;Poku;Poku;Ernest Poku;Bayer 04 Leverkusen;MIDFIELDER;2400000;102;03. Jul
pl-k00139040;Nediljko;Labrovic;Labrovic;Nediljko Labrovic;FC Augsburg;GOALKEEPER;800000;0;0.0
pl-k00139268;Hannes;Hermann;Hermann;Hannes Hermann;Hamburger SV;GOALKEEPER;500000;0;0.0
pl-k00139273;Mert;Kömür;Kömür;Mert Kömür;FC Augsburg;MIDFIELDER;1400000;93;Mrz 73
pl-k00139302;Mohammed;Amoura;Amoura;Mohammed Amoura;VfL Wolfsburg;FORWARD;4200000;106;Mrz 83
pl-k00139305;Antonio;Nusa;Nusa;Antonio Nusa;RB Leipzig;MIDFIELDER;3000000;162;Mrz 32
pl-k00139331;Bence;Dardai;B. Dardai;Bence Dardai;VfL Wolfsburg;MIDFIELDER;1600000;0;4.0
pl-k00139335;Almugera;Kabar;Kabar;Almugera Kabar;Borussia Dortmund;DEFENDER;1000000;2;0.0
pl-k00139342;Assan;Ouedraogo;Ouedraogo;Assan Ouedraogo;RB Leipzig;MIDFIELDER;1400000;109;Mrz 14
pl-k00140563;Max;Finkgräfe;Finkgräfe;Max Finkgräfe;RB Leipzig;DEFENDER;1500000;33;03. Sep
pl-k00140567;Romeo;Aigbekaen;Aigbekaen;Romeo Aigbekaen;FC St. Pauli;FORWARD;500000;0;0.0
pl-k00140583;Damion;Downs;Downs;Damion Downs;Hamburger SV;FORWARD;1700000;-4;Apr 93
pl-k00140663;Ayoube;Amaimouni-Echghouyab;Amaimouni-Echghouyab;Ayoube Amaimouni-Echghouyab;Eintracht Frankfurt;FORWARD;1400000;48;Mrz 81
pl-k00141102;Nicolas;Jackson;Jackson;Nicolas Jackson;Bayern München;FORWARD;4500000;82;Mrz 69
pl-k00141169;Cleiton;Santana dos Santos;Cleiton;Cleiton;VfL Wolfsburg;DEFENDER;1000000;0;0.0
pl-k00141205;Sander;Tangvik;Tangvik;Sander Tangvik;Hamburger SV;GOALKEEPER;800000;15;01. Mai
pl-k00141233;Kristoffer;Lund;Lund;Kristoffer Lund;1. FC Köln;DEFENDER;1300000;78;Mrz 89
pl-k00141450;Etienne;Borie;Borie;Etienne Borie;1. FC Köln;MIDFIELDER;500000;0;0.0
pl-k00141453;Noah;Darvich;Darvich;Noah Darvich;VfB Stuttgart;MIDFIELDER;1400000;0;0.0
pl-k00141455;Finn;Jeltsch;Jeltsch;Finn Jeltsch;VfB Stuttgart;DEFENDER;2000000;95;Mrz 35
pl-k00141456;Max;Moerstedt;Moerstedt;Max Moerstedt;TSG Hoffenheim;FORWARD;1400000;54;Mrz 38
pl-k00141461;Bilal;Yalcinkaya;Yalcinkaya;Bilal Yalcinkaya;Hamburger SV;MIDFIELDER;500000;0;0.0
pl-k00141500;Jobe;Bellingham;Bellingham;Jobe Bellingham;Borussia Dortmund;MIDFIELDER;3200000;110;Mrz 41
pl-k00141654;Maxim;Dal;Dal;Maxim Dal;1. FSV Mainz 05;DEFENDER;500000;0;0.0
pl-k00141655;Fayssal;Harchaoui;Harchaoui;Fayssal Harchaoui;1. FC Köln;MIDFIELDER;500000;0;0.0
pl-k00141658;Yannick;Mausehund;Mausehund;Yannick Mausehund;1. FC Köln;DEFENDER;500000;0;0.0
pl-k00141756;Elias;Baum;Baum;Elias Baum;Eintracht Frankfurt;DEFENDER;1500000;4;5.0
pl-k00143035;Rodrigo;Ribeiro;Ribeiro;Rodrigo Ribeiro;FC Augsburg;FORWARD;1400000;16;Apr 18
pl-k00143036;Romulo José;Cardoso da Cruz;Romulo;Romulo;RB Leipzig;FORWARD;2200000;143;03. Jun
pl-k00143075;Jenson;Seelt;Seelt;Jenson Seelt;VfL Wolfsburg;DEFENDER;1500000;30;Mrz 63
pl-k00143407;Luca;Jaquez;Jaquez;Luca Jaquez;VfB Stuttgart;DEFENDER;1700000;46;Mrz 59
pl-k00143483;Jarell;Quansah;Quansah;Jarell Quansah;Bayer 04 Leverkusen;DEFENDER;3400000;135;Mrz 44
pl-k00143858;Filippo;Mane;Mane;Filippo Mane;Borussia Dortmund;DEFENDER;500000;-4;Apr 75
pl-k00143938;Jeanuel;Belocian;Belocian;Jeanuel Belocian;VfL Wolfsburg;DEFENDER;1400000;50;Mrz 92
pl-k00144287;Nikolas;Veratschnig;Veratschnig;Nikolas Veratschnig;1. FSV Mainz 05;DEFENDER;1500000;52;Mrz 63
pl-k00144341;Kota;Takai;Takai;Kota Takai;Bor. Mönchengladbach;DEFENDER;1600000;12;Apr 13
pl-k00144420;Sota;Kawasaki;Kawasaki;Sota Kawasaki;1. FSV Mainz 05;MIDFIELDER;1500000;14;Apr 25
pl-k00144659;Omar;Megeed;Megeed;Omar Megeed;Hamburger SV;MIDFIELDER;500000;0;0.0
pl-k00144663;Bilal;El Khannouss;El Khannouss;Bilal El Khannouss;VfB Stuttgart;MIDFIELDER;2600000;133;Mrz 29
pl-k00144843;Arthur Augusto;de Matos Soares;Arthur;Arthur;Bayer 04 Leverkusen;DEFENDER;1400000;61;Mrz 74
pl-k00145004;Julian;Malatini;Malatini;Julian Malatini;Werder Bremen;DEFENDER;1400000;8;Apr 25
pl-k00145381;Adam;Daghim;Daghim;Adam Daghim;VfL Wolfsburg;FORWARD;1400000;62;Mrz 87
pl-k00145594;Arthur;Largura Chaves;Arthur Chaves;Arthur Chaves;FC Augsburg;DEFENDER;1800000;56;Mrz 62
pl-k00146018;Leon;Klanac;Klanac;Leon Klanac;Bayern München;GOALKEEPER;500000;0;0.0
pl-k00146019;Elias;Benkara;Benkara;Elias Benkara;Borussia Dortmund;DEFENDER;500000;0;0.0
pl-k00146020;Franz;Bleicher;Bleicher;Franz Bleicher;FC Augsburg;MIDFIELDER;500000;0;0.0
pl-k00146021;Jan;Bürger;Bürger;Jan Bürger;VfL Wolfsburg;DEFENDER;500000;14;Mrz 75
pl-k00146029;Cenny;Neumann;Neumann;Cenny Neumann;1. FC Köln;DEFENDER;500000;-2;05. Mai
pl-k00146034;Niklas;Swider;Swider;Niklas Swider;Bor. Mönchengladbach;MIDFIELDER;500000;0;0.0
pl-k00146099;Tiago;Pereira Cardoso;Pereira Cardoso;Tiago Pereira Cardoso;Bor. Mönchengladbach;GOALKEEPER;800000;0;0.0
pl-k00146188;Sael;Kumbedi;Kumbedi;Sael Kumbedi;VfL Wolfsburg;DEFENDER;1800000;66;Mrz 88
pl-k00146229;Ezechiel;Banzuzi;Banzuzi;Ezechiel Banzuzi;RB Leipzig;MIDFIELDER;2400000;52;Mrz 56
pl-k00146245;Kosta;Nedeljkovic;Nedeljkovic;Kosta Nedeljkovic;RB Leipzig;DEFENDER;1800000;8;Apr 17
pl-k00146255;Jovan;Milosevic;Milosevic;Jovan Milosevic;Werder Bremen;FORWARD;1200000;27;04. Jun
pl-k00146292;Can;Uzun;Uzun;Can Uzun;Eintracht Frankfurt;MIDFIELDER;2000000;140;Mrz 25
pl-k00146323;Oscar;Höjlund;O. Höjlund;Oscar Höjlund;Eintracht Frankfurt;MIDFIELDER;1500000;52;Mrz 91
pl-k00147587;Martijn;Kaars;Kaars;Martijn Kaars;FC St. Pauli;FORWARD;2000000;18;Apr 55
pl-k00147890;Robin;Hranac;Hranac;Robin Hranac;TSG Hoffenheim;DEFENDER;1300000;141;Mrz 25
pl-k00148187;Fares;Chaibi;Chaibi;Fares Chaibi;Eintracht Frankfurt;MIDFIELDER;1600000;87;Mrz 88
pl-k00148193;Sebastian;Sebulonsen;Sebulonsen;Sebastian Sebulonsen;1. FC Köln;DEFENDER;1600000;100;Mrz 65
pl-k00148349;Andreas;Hountondji;A. Hountondji;Andreas Hountondji;FC St. Pauli;FORWARD;1400000;15;04. Mai
